time,ax,ay,vx,vy,px,py,gz,yaw
1555247441.187510967,58.7115922348,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.198314905,58.7215651006,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.209187984,58.7316017889,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.219824075,58.7414197191,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.231326103,58.7520369757,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.242002964,58.7618925397,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.252166032,58.7712738332,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.262974023,58.7812504403,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.273756980,58.7912039391,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.284331083,58.8009646495,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.295394897,58.8111774009,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.307143926,58.8220226585,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.317409038,58.8314981465,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.327717065,58.8410132483,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.338516950,58.8509823729,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.349303007,58.8609387332,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.360038995,58.870848876,0,0,0,0,-0.439853199665,0.926748934246,0.0,8.33622880923
1555247441.371762037,58.8816701455,-0.004949831366,0.0034694115777,-5.35634593814e-05,3.75434378221e-05,-0.439853779289,0.926749340513,0.0,8.33622880923
1555247441.381659030,58.8908058314,-0.004949831366,0.0034694115777,-9.87835637327e-05,6.9238892067e-05,-0.439854681745,0.926749973058,0.0,8.33622880923
1555247441.392728090,58.9010234252,-0.004949831366,0.0034694115777,-0.000149358930237,0.000104687930453,-0.439856207834,0.926751042717,0.0,8.33622880923
1555247441.403182029,58.9106732151,-0.004949831366,0.0034694115777,-0.000197123762693,0.000138167023068,-0.439858110037,0.926752376,0.0,8.33622880923
1555247441.414868116,58.9214603723,-0.004949831366,0.0034694115777,-0.000250518371904,0.000175592111254,-0.439860812418,0.926754270139,0.0,8.33622880923
1555247441.424993991,58.9308073338,-0.004949831366,0.0034694115777,-0.000296784255304,0.000208020567832,-0.439863586449,0.9267562145,0.0,8.33622880923
1555247441.435590982,58.9405891717,-0.004949831366,0.0034694115777,-0.000345202703092,0.000241957789307,-0.439866963165,0.926758581292,0.0,8.33622880923
1555247441.445971965,58.9501716175,-0.00550374551358,0.00388174187651,-0.000397942046427,0.000279154370627,-0.439870776424,0.926761256273,0.0,8.33622880923
1555247441.457231044,58.9605646135,-0.00550374551358,0.00388174187651,-0.000455142451535,0.000319497298423,-0.439875506717,0.926764576807,0.0,8.33622880923
1555247441.467911958,58.9704239188,-0.00550374551358,0.00388174187651,-0.000509405558465,0.00035776857641,-0.439880529102,0.926768104157,0.0,8.33622880923
1555247441.478682041,58.9803655338,-0.00550374551358,0.00388174187651,-0.000564121677843,0.000396359359975,-0.439886137383,0.926772044609,0.0,8.33622880923
1555247441.489167928,58.9900448142,-0.00661157380873,0.00470640247413,-0.000628116954012,0.000441913948763,-0.439892217103,0.926776322018,0.0,8.33622880923
1555247441.499908924,58.9999595797,-0.00661157380873,0.00470640247413,-0.000693669158166,0.000488576825823,-0.43989909467,0.926781166143,0.0,8.33622880923
1555247441.511084079,59.0102751074,-0.00661157380873,0.00470640247413,-0.00076187103088,0.000537125850876,-0.439906953772,0.926786706879,0.0,8.33622880923
1555247441.521481990,59.0198731791,-0.00661157380873,0.00470640247413,-0.000825329390295,0.000582298239236,-0.439914875342,0.92679229582,0.0,8.33622880923
1555247441.532598018,59.030134128,-0.00529118361329,0.00243278006562,-0.000879621955094,0.00060726087123,-0.439923901098,0.926798526892,-0.42724609375,8.33184485889
1555247441.543368101,59.0400757431,-0.00529100324912,0.002433172311,-0.000932223072767,0.000631450533762,-0.439933168901,0.926804804531,-0.42724609375,8.32759734268
1555247441.554182052,59.0500578517,-0.00529082212104,0.0024335661406,-0.000985036633844,0.0006557426553,-0.439943001644,0.926811350225,-0.42724609375,8.32333252577
1555247441.565025091,59.0600668108,-0.00529064047633,0.00243396101601,-0.00103799043786,0.000680104071504,-0.439953390848,0.926818157359,-0.42724609375,8.3190562371
1555247441.575793027,59.070006444,-0.00550138913828,0.00388508072287,-0.00109267222816,0.000718720348961,-0.439964251609,0.926825301175,-1.77001953125,8.30146289215
1555247441.586600065,59.0799821714,-0.00550019158516,0.00388677593908,-0.00114754063997,0.000757493766135,-0.439975699161,0.926832857727,-1.77001953125,8.28380565984
1555247441.597309112,59.0898674455,-0.00549900437536,0.00388845542007,-0.0012018998058,0.000795932213997,-0.43998758027,0.926840725735,-1.77001953125,8.26630853151
1555247441.608438968,59.1001411588,-0.00549776997103,0.0038902005115,-0.00125838231789,0.000835899018463,-0.44000050853,0.926849313522,-1.77001953125,8.24812385844
1555247441.619069099,59.1099535874,-0.00411030526474,0,-0.00129871439489,0.000835899018463,-0.440013252072,0.926857515721,-3.662109375,8.21218967161
1555247441.629928112,59.1199772917,-0.00410957822177,0,-0.00133990759181,0.000835899018463,-0.440026682909,0.926865894526,-3.662109375,8.17548177009
1555247441.640520095,59.1297545068,-0.00410886743212,0,-0.00138008087242,0.000835899018463,-0.440040176257,0.92687406729,-3.662109375,8.1396765391
1555247441.651834964,59.1401990012,-0.0041081063596,0,-0.00142298796654,0.000835899018463,-0.440055038647,0.926882797833,-3.662109375,8.10142765802
1555247441.662048101,59.1496265123,-0.00314015819419,0,-0.0014525918427,0.000835899018463,-0.440068732972,0.92689067828,-5.37109375,8.05079161219
1555247441.673031091,59.1597646569,-0.00313893854152,0,-0.00148441485557,0.000835899018463,-0.440083782185,0.926899152745,-5.37109375,7.99633868701
1555247441.683677911,59.1695924908,-0.00313775351392,0,-0.00151525217575,0.000835899018463,-0.440098673832,0.926907367822,-5.37109375,7.94355247006
1555247441.694948911,59.1799964908,-0.00313649611093,0,-0.00154788428129,0.000835899018463,-0.44011477802,0.926916064515,-5.37109375,7.88767161069
1555247441.705286979,59.1895393228,-0.00313515603124,0,-0.00157780254859,0.000835899018463,-0.440129834724,0.926924041359,-6.2255859375,7.82826188999
1555247441.716079950,59.1995020652,-0.00313375338793,0,-0.00160902332653,0.000835899018463,-0.440145865009,0.926932369206,-6.2255859375,7.76623798062
1555247441.726861000,59.2094538037,-0.00313234862764,0,-0.00164019564085,0.000835899018463,-0.440162187807,0.926940687854,-6.2255859375,7.7042825776
1555247441.737531900,59.2193038652,-0.00313095461317,0,-0.00167103573646,0.000835899018463,-0.440178647612,0.926948921511,-6.2255859375,7.642960173
1555247441.748816013,59.2297199695,-0.00319406880884,0,-0.00170430549034,0.000835899018463,-0.440196399836,0.926957628322,-5.615234375,7.58447130604
1555247441.759217977,59.2393217825,-0.00319238169099,0,-0.00173495814211,0.000835899018463,-0.440213058579,0.926965654468,-5.615234375,7.53055487605
1555247441.769929885,59.2492096975,-0.00319064134813,0,-0.00176650693281,0.000835899018463,-0.44023052565,0.926973919767,-5.615234375,7.47503191541
1555247441.780679941,59.2591328262,-0.00318889179517,0,-0.00179815071623,0.000835899018463,-0.440248368931,0.9269822145,-5.615234375,7.41931122251
1555247441.791475057,59.2690975486,-0.0037345792516,0,-0.00183536476198,0.000835899018463,-0.440266657831,0.926990544002,-4.0283203125,7.37917012861
1555247441.802527904,59.2793001766,-0.00373298274144,0,-0.00187345099622,0.000835899018463,-0.440285771955,0.926999072369,-4.0283203125,7.33807067499
1555247441.813069105,59.289030516,-0.00373145834565,0,-0.00190975935233,0.000835899018463,-0.440304354562,0.92700720595,-4.0283203125,7.2988737512
1555247441.823858976,59.2989903969,-0.00372989618026,0,-0.00194690867414,0.000835899018463,-0.44032374554,0.927015531405,-4.0283203125,7.25875216057
1555247441.835249900,59.309505096,-0.00427488789236,0.00265655934195,-0.00199185783391,0.000863831940523,-0.440344689326,0.927024614338,-2.197265625,7.23564857373
1555247441.845508098,59.3189742018,-0.00427392291909,0.002658111531,-0.00203232806241,0.000889001879961,-0.440363933655,0.92703303239,-2.197265625,7.21484243296
1555247441.856306076,59.3289415662,-0.00427290656067,0.0026597450166,-0.00207491767876,0.000915512527507,-0.440384615116,0.927042157637,-2.197265625,7.19294148599
1555247441.867053031,59.3388618323,-0.00427189438489,0.00266137039773,-0.00211729600803,0.000941914030187,-0.440405619256,0.927051501675,-2.197265625,7.17114402618
1555247441.877717971,59.3487063923,-0.00481695414012,0.00308543397169,-0.00216471680208,0.000972288770047,-0.44042692994,0.92706107343,-0.67138671875,7.16453451934
1555247441.888510942,59.3586691348,-0.004816593906,0.00308599629397,-0.00221270328671,0.00100303375636,-0.440448974533,0.927071066397,-0.67138671875,7.15784566637
1555247441.900739908,59.3699574111,-0.00481618566373,0.00308663338189,-0.00226706972123,0.00103787652684,-0.440474565843,0.927082782234,-0.67138671875,7.15026686758
1555247441.910187959,59.3786786889,-0.00481587019965,0.00308712555653,-0.00230907026332,0.00106480020656,-0.440494703886,0.927092068653,-0.67138671875,7.14441151747
1555247441.922008037,59.3895895302,-0.00481601372024,0.00308690165508,-0.00236161702438,0.00109848090041,-0.440520471114,0.927104054004,0.244140625,7.14707529706
